"subject" "typemeasure" "mean(measure)"
1 "fbodyacc-mean()-x" -0.531895161258213
1 "fbodyacc-mean()-y" -0.406435448904438
1 "fbodyacc-mean()-z" -0.596411165253602
1 "fbodyacc-std()-x" -0.553060616663401
1 "fbodyacc-std()-y" -0.390150939647061
1 "fbodyacc-std()-z" -0.498583091676081
1 "fbodyaccjerk-mean()-x" -0.547348892435764
1 "fbodyaccjerk-mean()-y" -0.507343617969859
1 "fbodyaccjerk-mean()-z" -0.695305113832853
1 "fbodyaccjerk-std()-x" -0.543979776127867
1 "fbodyaccjerk-std()-y" -0.466251676533372
1 "fbodyaccjerk-std()-z" -0.737861932680115
1 "fbodyaccmag-mean()" -0.478448523354179
1 "fbodyaccmag-std()" -0.589710231217867
1 "fbodybodyaccjerkmag-mean()" -0.499075765624092
1 "fbodybodyaccjerkmag-std()" -0.541823079570029
1 "fbodybodygyrojerkmag-mean()" -0.645970655298847
1 "fbodybodygyrojerkmag-std()" -0.685811262634006
1 "fbodybodygyromag-mean()" -0.535002770337752
1 "fbodybodygyromag-std()" -0.566576670397695
1 "fbodygyro-mean()-x" -0.623219182311527
1 "fbodygyro-mean()-y" -0.505309434070029
1 "fbodygyro-mean()-z" -0.553529065425648
1 "fbodygyro-std()-x" -0.708263420861671
1 "fbodygyro-std()-y" -0.429825832648703
1 "fbodygyro-std()-z" -0.650476162132565
1 "tbodyacc-mean()-x" 0.265696920582133
1 "tbodyacc-mean()-y" -0.0182981725176081
1 "tbodyacc-mean()-z" -0.10784573454611
1 "tbodyacc-std()-x" -0.545795331328326
1 "tbodyacc-std()-y" -0.367716218227378
1 "tbodyacc-std()-z" -0.502645746562824
1 "tbodyaccjerk-mean()-x" 0.0770930495126801
1 "tbodyaccjerk-mean()-y" 0.0165908438802305
1 "tbodyaccjerk-mean()-z" -0.00910758730117003
1 "tbodyaccjerk-std()-x" -0.524721922818732
1 "tbodyaccjerk-std()-y" -0.470412403511239
1 "tbodyaccjerk-std()-z" -0.717322274881844
1 "tbodyaccjerkmag-mean()" -0.545431612066571
1 "tbodyaccjerkmag-std()" -0.515922167555159
1 "tbodyaccmag-mean()" -0.453632943768818
1 "tbodyaccmag-std()" -0.497096402038329
1 "tbodygyro-mean()-x" -0.0208764064320173
1 "tbodygyro-mean()-y" -0.0880722729400576
1 "tbodygyro-mean()-z" 0.0862641666597983
1 "tbodygyro-std()-x" -0.686555715201729
1 "tbodygyro-std()-y" -0.450979810499568
1 "tbodygyro-std()-z" -0.597496136795101
1 "tbodygyrojerk-mean()-x" -0.0971120197265994
1 "tbodygyrojerk-mean()-y" -0.0417164808293948
